,created_at,name,sku,quantity,Kho
42,2019-10-25,Tã Quần Bobby Fresh Gói Lớn XL32 (32 Miếng),190900718,5,Kho Hà Nội
13,2019-10-25,Tã Dán Sơ Sinh Moony Gói Cực Đại NB90 (90 Miếng),190900740,1,Kho Hà Nội
39,2019-10-25,Tã quần GOO.N PREMIUM SLIM L46 (9kg ~ 14kg) (46 Miếng),190904352,2,Kho Hà Nội
78,2019-10-25,Tã dán Merries size S 82 miếng (cho bé 4 - 8kg) (không tem đổi quà),191005018,5,Kho Hà Nội
26,2019-10-25,Tã dán Merries size XL 44 miếng (cho bé 12 - 20kg),190903797,2,Kho Hà Nội
44,2019-10-25,Tã quần GOO.N PREMIUM SLIM XXXL26 (18kg ~ 30kg) (26 Miếng),190904355,1,Kho Hà Nội
32,2019-10-25,Tã dán Bobby Fresh SM L68 (68 Miếng),190900722,2,Kho Hà Nội
11,2019-10-25,Tã Quần Moony Gói Đại M58 (58 Miếng),190900735,1,Kho Hà Nội
18,2019-10-25,Tã quần Moony Bé Trai XL38 (38 Miếng),190900739,3,Kho Hà Nội
86,2019-10-25,Miếng Lót Jo Newborn 1 (56 Miếng),191006403,3,Kho Hà Nội
75,2019-10-25,Tã dán Moony Natural Bông Organic L38 (38 Miếng),191005036,5,Kho Hà Nội
72,2019-10-25,Tã dán Moony Natural Bông Organic S58 (58 Miếng),191005034,1,Kho Hà Nội
48,2019-10-25,Tã Quần Bobby Fresh Gói Siêu Lớn L54 (54 Miếng),190900720,5,Kho Hà Nội
41,2019-10-25,Tã quần GOO.N PREMIUM SLIM XL42 (12kg ~ 17kg) (42 Miếng),190904353,1,Kho Hà Nội
21,2019-10-25,Tã Quần Huggies Dry Gói Cực Đại L68 (68 Miếng),190900730,4,Kho Hà Nội
30,2019-10-25,Tã Dán Sơ Sinh Huggies Dry Newborn S56 (56 Miếng),190900724,3,Kho Hà Nội
47,2019-10-25,Miếng lót sơ sinh Bobby Fresh Newborn 2-60 (60 Miếng),190900716,5,Kho Hà Nội
1,2019-10-25,Tã dán Merries size M 64 miếng (cho bé 6-11kg),190903794,4,Kho Hà Nội
29,2019-10-25,Tã Quần Huggies Dry Gói Cực Đại XL62 (62 Miếng),190900731,4,Kho Hà Nội
75,2019-10-25,Tã dán Moony Natural Bông Organic L38 (38 Miếng),191005036,1,Kho Hà Nội
47,2019-10-25,Miếng lót sơ sinh Bobby Fresh Newborn 2-60 (60 Miếng),190900716,4,Kho Hà Nội
56,2019-10-25,Tã-Bỉm Quần Goon Renew slim bịch đại M60,191000907,1,Kho Hà Nội
73,2019-10-25,Tã quần Moony Natural Bông Organic XL32 (32 Miếng),191005044,4,Kho Hà Nội
69,2019-10-25,Tã quần Moony Natural Bông Organic L36 (36 Miếng),191005041,5,Kho Hà Nội
90,2019-10-25,Tã dán ANGEL size M60 (60 Miếng),191006373,2,Kho Hà Nội
76,2019-10-25,Tã dán Moony Natural Bông Organic NB63 (63 Miếng),191005033,5,Kho Hà Nội
48,2019-10-25,Tã Quần Bobby Fresh Gói Siêu Lớn L54 (54 Miếng),190900720,4,Kho Hà Nội
56,2019-10-25,Tã-Bỉm Quần Goon Renew slim bịch đại M60,191000907,3,Kho Hà Nội
60,2019-10-25,Tã dán Merries size L 54 miếng (cho bé 9-14kg) (không tem đổi quà),191005015,5,Kho Hà Nội
42,2019-10-25,Tã Quần Bobby Fresh Gói Lớn XL32 (32 Miếng),190900718,2,Kho Bình Dương
41,2019-10-25,Tã quần GOO.N PREMIUM SLIM XL42 (12kg ~ 17kg) (42 Miếng),190904353,1,Kho Bình Dương
88,2019-10-25,Tã dán JO M40 (40 Miếng),191006397,1,Kho Bình Dương
18,2019-10-25,Tã quần Moony Bé Trai XL38 (38 Miếng),190900739,1,Kho Bình Dương
86,2019-10-25,Miếng Lót Jo Newborn 1 (56 Miếng),191006403,2,Kho Bình Dương
