created_at,order_sn,name,sku,quantity,state,brand,Kho
2019-10-31,19A31WD492,Tã quần GOO.N PREMIUM SLIM M56 (7kg ~ 12kg) (56 Miếng),190904351,1.0,Tỉnh Đắk Nông,Goon Premium,Kho Đà Nẵng
2019-10-31,19A31WE496,Tã quần Moony Bé Trai XL38 (38 Miếng),190900739,3.0,Thành phố Hồ Chí Minh,Moony,Kho Bình Dương
2019-10-31,19A31WB945,Tã Quần Moony Bé Gái Gói Đại L(44 Miếng),190900737,3.0,Tỉnh Quảng Ninh,Moony,Kho Hà Nội
2019-10-31,19A31WB544,Tã Dán Moony Gói Đại L54 (54 Miếng),190900738,1.0,Thành phố Hà Nội,Moony,Kho Hà Nội
2019-10-31,19A31WE492,Tã Dán Huggies Dry Gói Cực Đại M76 (76 Miếng),190900725,1.0,Tỉnh Điện Biên,Huggies,Kho Hà Nội
2019-10-31,19A31WD644,Tã dán Merries size S 82 miếng (cho bé 4 - 8kg),190903796,1.0,Thành phố Hà Nội,Merries,Kho Hà Nội
2019-10-31,19A31WE751,Tã dán Merries Newborn 90 miếng (cho bé ~ 5kg),190903795,1.0,Thành phố Hà Nội,Merries,Kho Hà Nội
2019-10-25,19A25WB746,Tã dán Merries size M 64 miếng (cho bé 6-11kg),190903794,1.0,Tỉnh Lào Cai,Merries,Kho Hà Nội
2019-10-25,19A25WA034,Tã Dán Moony Gói Đại M64 (64 Miếng),190900733,6.0,Tỉnh Hà Nam,Moony,Kho Hà Nội
2019-10-25,19A25WA466,Tã Quần Moony Bé Gái Gói Đại XL (38 Miếng),190900741,6.0,Tỉnh Gia Lai,Moony,Kho Đà Nẵng
2019-10-25,19A25WB169,Tã Quần Moony Bé Gái Gói Đại L(44 Miếng),190900737,6.0,Thành phố Hà Nội,Moony,Kho Hà Nội
2019-10-25,19A25WB169,Hộp 4 miếng Moony Tã quần L,190904203,6.0,Thành phố Hà Nội,Moony,Kho Hà Nội
2019-10-25,19A25WC230,Tã Quần Moony Gói Đại M58 Mới (58 Miếng),190904388,6.0,Tỉnh Hải Dương,Moony,Kho Hà Nội
2019-10-25,19A25WA151,Tã Quần Huggies Dry Gói Cực Đại XL62 (62 Miếng),190900731,1.0,Thành phố Hồ Chí Minh,Huggies,Kho Bình Dương
2019-10-25,19A25WA131,Hộp 4 miếng Moony Tã quần L,190904203,6.0,Thành phố Hồ Chí Minh,Moony,Kho Bình Dương
2019-10-25,19A25WB880,Tã Dán Moony Gói Đại M64 (64 Miếng),190900733,6.0,Tỉnh Điện Biên,Moony,Kho Hà Nội
2019-10-25,19A25WC372,Tã Quần Moony Bé Gái Gói Đại L(44 Miếng),190900737,6.0,Thành phố Hồ Chí Minh,Moony,Kho Bình Dương
2019-10-25,19A25WA483,Tã Dán Moony Gói Đại L54 (54 Miếng),190900738,6.0,Thành phố Hà Nội,Moony,Kho Hà Nội
